Country,GDP
Aruba,2700558659
Afghanistan,19543976895
Angola,1.22E+11
Albania,13038538300
Andorra,3012914131
Arab World,2.58E+12
United Arab Emirates,3.83E+11
Argentina,6.37E+11
Armenia,11536590636
American Samoa,634000000
Antigua and Barbuda,1510084751
Australia,1.32E+12
Austria,4.17E+11
Azerbaijan,40747792238
Burundi,3172416146
Belgium,4.95E+11
Benin,9246696924
Burkina Faso,12322864245
Bangladesh,2.50E+11
Bulgaria,58220973783
Bahrain,35432686170
"Bahamas, The",12162100000
Bosnia and Herzegovina,18054854789
Belarus,54456465473
Belize,1862614800
Bermuda,
Bolivia,37508642113
Brazil,2.05E+12
Barbados,4673500000
Brunei Darussalam,12128089002
Bhutan,2528007911
Botswana,17406565823
Central African Republic,1949411659
Canada,1.65E+12
Central Europe and the Baltics,1.46E+12
Switzerland,6.79E+11
Channel Islands,
Chile,2.77E+11
China,1.22E+13
Cote d'Ivoire,37353276059
Cameroon,34922782311
"Congo, Dem. Rep.",37642482562
"Congo, Rep.",8701334800
Colombia,3.14E+11
Comoros,1068124330
Cabo Verde,1772706451
Costa Rica,57285984448
Caribbean small states,68823642410
Cuba,96851000000
Curacao,
Cayman Islands,
Cyprus,22054225828
Czech Republic,2.16E+11
Germany,3.69E+12
Djibouti,1844674435
Dominica,496727000
Denmark,3.30E+11
Dominican Republic,75931656815
Algeria,1.68E+11
East Asia & Pacific (excluding high income),1.47E+13
Early-demographic dividend,1.13E+13
East Asia & Pacific,2.40E+13
Europe & Central Asia (excluding high income),3.30E+12
Europe & Central Asia,2.15E+13
Ecuador,1.04E+11
"Egypt, Arab Rep.",2.35E+11
Euro area,1.26E+13
Eritrea,
Spain,1.31E+12
Estonia,26611651599
Ethiopia,80561496134
European Union,1.73E+13
Fragile and conflict affected situations,8.23E+11
Finland,2.52E+11
Fiji,5061202767
France,2.58E+12
Faroe Islands,
"Micronesia, Fed. Sts.",336427500
Gabon,15013950984
United Kingdom,2.64E+12
Georgia,15081338092
Ghana,58996776238
Gibraltar,
Guinea,10472514515
"Gambia, The",1489464788
Guinea-Bissau,1346841897
Equatorial Guinea,12293579173
Greece,2.03E+11
Grenada,1126882296
Greenland,
Guatemala,75620095538
Guam,5859000000
Guyana,3621046005
High income,5.16E+13
"Hong Kong SAR, China",3.41E+11
Honduras,22978532897
Heavily indebted poor countries (HIPC),7.44E+11
Croatia,55213087271
Haiti,8408150518
Hungary,1.40E+11
IBRD only,2.87E+13
IDA & IBRD total,3.08E+13
IDA total,2.14E+12
IDA blend,9.24E+11
Indonesia,1.02E+12
IDA only,1.21E+12
Isle of Man,
India,2.65E+12
Not classified,
Ireland,3.31E+11
"Iran, Islamic Rep.",4.54E+11
Iraq,1.92E+11
Iceland,24488467010
Israel,3.53E+11
Italy,1.94E+12
Jamaica,14781107822
Jordan,40068308451
Japan,4.87E+12
Kazakhstan,1.63E+11
Kenya,79263075749
Kyrgyz Republic,7564738836
Cambodia,22158209503
Kiribati,185572501.5
St. Kitts and Nevis,992007403.1
"Korea, Rep.",1.53E+12
Kuwait,1.20E+11
Latin America & Caribbean (excluding high income),4.74E+12
Lao PDR,16853087485
Lebanon,53576985687
Liberia,3285455000
Libya,38107728083
St. Lucia,1737504296
Latin America & Caribbean,5.97E+12
Least developed countries: UN classification,1.08E+12
Low income,5.77E+11
Liechtenstein,
Sri Lanka,87357205923
Lower middle income,6.57E+12
Low & middle income,2.93E+13
Lesotho,2578265358
Late-demographic dividend,2.05E+13
Lithuania,47544459559
Luxembourg,62316359824
Latvia,30463302414
"Macao SAR, China",50361201096
St. Martin (French part),
Morocco,1.10E+11
Monaco,
Moldova,8128493432
Madagascar,11499803807
Maldives,4865546027
Middle East & North Africa,3.28E+12
Mexico,1.15E+12
Marshall Islands,204173430.1
Middle income,2.88E+13
North Macedonia,11279509014
Mali,15334336144
Malta,12518134319
Myanmar,67068745521
Middle East & North Africa (excluding high income),1.44E+12
Montenegro,4844592067
Mongolia,11433635876
Northern Mariana Islands,1593000000
Mozambique,12645508634
Mauritania,5024708656
Mauritius,13266427697
Malawi,6303292264
Malaysia,3.15E+11
North America,2.11E+13
Namibia,13253698015
New Caledonia,
Niger,8119710126
Nigeria,3.76E+11
Nicaragua,13814261536
Netherlands,8.31E+11
Norway,3.99E+11
Nepal,24880266905
Nauru,113884908.4
New Zealand,2.04E+11
OECD members,4.98E+13
Oman,70783875163
Other small states,4.05E+11
Pakistan,3.05E+11
Panama,62283756584
Peru,2.11E+11
Philippines,3.14E+11
Palau,289823500
Papua New Guinea,20536314601
Poland,5.26E+11
Pre-demographic dividend,1.30E+12
Puerto Rico,
"Korea, Dem. People’s Rep.",
Portugal,2.19E+11
Paraguay,39667400816
West Bank and Gaza,14498100000
Pacific island small states,9665737128
Post-demographic dividend,4.72E+13
French Polynesia,
Qatar,1.67E+11
Romania,2.12E+11
Russian Federation,1.58E+12
Rwanda,9135454442
South Asia,3.34E+12
Saudi Arabia,6.87E+11
Sudan,1.17E+11
Senegal,21070225735
Singapore,3.24E+11
Solomon Islands,1303453622
Sierra Leone,3775047334
El Salvador,24805439600
San Marino,1632860041
Somalia,7052000000
Serbia,41431648801
Sub-Saharan Africa (excluding high income),1.67E+12
South Sudan,
Sub-Saharan Africa,1.67E+12
Small states,4.83E+11
Sao Tome and Principe,392570292.5
Suriname,2995827901
Slovak Republic,95617670260
Slovenia,48769655479
Sweden,5.36E+11
Eswatini,4433664364
Sint Maarten (Dutch part),
Seychelles,1497959569
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,9871247732
East Asia & Pacific (IDA & IBRD countries),1.47E+13
Europe & Central Asia (IDA & IBRD countries),3.88E+12
Togo,4757776485
Thailand,4.55E+11
Tajikistan,7146449583
Turkmenistan,37926285714
Latin America & the Caribbean (IDA & IBRD countries),5.72E+12
Timor-Leste,2954621000
Middle East & North Africa (IDA & IBRD countries),1.43E+12
Tonga,427659795.3
South Asia (IDA & IBRD),3.34E+12
Sub-Saharan Africa (IDA & IBRD countries),1.67E+12
Trinidad and Tobago,22079017627
Tunisia,39952095561
Turkey,8.52E+11
Tuvalu,39731317.3
Tanzania,53320625959
Uganda,25995031850
Ukraine,1.12E+11
Upper middle income,2.22E+13
Uruguay,56156972158
United States,1.95E+13
Uzbekistan,49677172714
St. Vincent and the Grenadines,785222509.1
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2.24E+11
Vanuatu,862879789
World,8.09E+13
Samoa,840927996.6
Kosovo,7244888738
"Yemen, Rep.",31267675216
South Africa,3.49E+11
Zambia,25868142073
Zimbabwe,22040902300